line,crest_ft,nwl_ft,type,H_max_m,dam_endarea_Mm3,dam_grid_Mm3,grid_cfrd_Mm3,grid_rcc_Mm3,infeasible_m,need_bank_Mm3,wedge_Mm3,net_nocut_Mm3,max_cut_Mm3,balanced,floor_ft,cut_Mm3,cap_Mm3,pit_acre,net_Mm3,net_GWh,maxnet_floor_ft,maxnet_cut_Mm3,maxnet_cap_Mm3,maxnet_pit_acre,maxnet_Mm3,maxnet_GWh,maxnet_surplus_ratio,netinf_Mm3,wall,berm_m,wall_m,head_m,curve
A_parcel_ring_3800,3800,3780,cfrd,1.4655470902512207,0.08580542137533893,0.08457216654874516,0.08457216654874516,0.0,0.0,0.07047680545728764,0.0,1.469226200102528,18.681615887985142,True,3750,13.11123549493854,2.767783207965992,71.303924524199,1.469226200102528,1.4314235095107983,3500,18.36230171786757,2.767783207965992,71.303924524199,6.72029242303156,6.5473815838863825,260.5438994960692,7.0396065931491325,bowl,20.0,0.75,420.624,3750:13.11:1.47;3700:15.07:3.43;3650:16.49:4.85;3600:17.44:5.80;3550:18.02:6.38;3500:18.36:6.72;3450:18.55:6.90;3400:18.63:6.99;3350:18.67:7.03;3300:18.68:7.04;3250:18.68:7.04;3200:18.68:7.04;3150:18.68:7.04;3100:18.68:7.04;3050:18.68:7.04;3000:18.68:7.04
A_parcel_ring_3800,3800,3780,rcc,1.4655470902512207,0.007567384231569331,0.007181494440564706,0.0,0.007181494440564706,0.0,0.006463344996508236,0.0,1.4691634349145142,18.68120777060823,True,3750,13.1110826400272,2.767783207965992,71.30244189322092,1.4691634349145142,1.431362359249732,3500,18.361893318685528,2.767783207965992,71.30244189322092,6.719974113572842,6.547071464421812,2840.927310642612,7.039288565495544,bowl,20.0,0.75,420.624,3750:13.11:1.47;3700:15.07:3.43;3650:16.49:4.85;3600:17.44:5.80;3550:18.02:6.38;3500:18.36:6.72;3450:18.54:6.90;3400:18.63:6.99;3350:18.67:7.03;3300:18.68:7.04;3250:18.68:7.04;3200:18.68:7.04;3150:18.68:7.04;3100:18.68:7.04;3050:18.68:7.04;3000:18.68:7.04
A_parcel_ring_3800,3850,3830,cfrd,16.70554709025123,3.009728387679804,3.8982274734397118,3.8982274734397118,0.0,0.0,3.2485228945330933,0.22715951213392174,1.4573236780926815,15.472842148616262,True,3800,9.917605463596974,2.767783207965992,63.43238955634739,1.4573236780926815,1.471270251118792,3550,15.19640876764147,2.767783207965992,63.43238955634739,6.736126982137178,6.800591649994962,4.677944179865673,7.012560363111972,bowl,20.0,0.75,435.86400000000003,3800:9.92:1.46;3750:11.89:3.43;3700:13.33:4.87;3650:14.29:5.83;3600:14.87:6.41;3550:15.20:6.74;3500:15.36:6.90;3450:15.44:6.98;3400:15.47:7.01;3350:15.47:7.01;3300:15.47:7.01;3250:15.47:7.01;3200:15.47:7.01;3150:15.47:7.01;3100:15.47:7.01;3050:15.47:7.01;3000:15.47:7.01
A_parcel_ring_3800,3850,3830,rcc,16.70554709025123,0.7502759570769394,0.818433453538209,0.0,0.818433453538209,0.0,0.7365901081843882,0.08497046785500655,1.8902832487669536,17.905326196379736,True,3800,10.413318398596509,2.767783207965992,69.4550836945187,1.8902832487669536,1.9083732405548213,3500,17.65086460071534,2.767783207965992,69.4550836945187,9.127829450885786,9.21518268745247,23.96294004575046,9.382291046550183,bowl,20.0,0.75,435.86400000000003,3800:10.41:1.89;3750:12.85:4.32;3700:14.68:6.16;3650:15.99:7.47;3600:16.84:8.32;3550:17.35:8.83;3500:17.65:9.13;3450:17.80:9.28;3400:17.87:9.35;3350:17.90:9.38;3300:17.91:9.38;3250:17.91:9.38;3200:17.91:9.38;3150:17.91:9.38;3100:17.91:9.38;3050:17.91:9.38;3000:17.91:9.38
A_parcel_ring_3800,3900,3880,cfrd,31.94554709025124,7.8093006893891115,10.166048589011542,10.166048589011542,0.0,0.0,8.47170715750962,1.1592830963244474,1.7529541786493181,13.140999831690545,True,3800,9.224717218765404,2.767783207965992,57.17099183070331,3.836523916441529,4.008667363423651,3600,12.850012719447962,2.767783207965992,57.17099183070331,7.461819417124087,7.796628568115456,1.516815026834026,7.752806529366668,bowl,20.0,0.75,451.10400000000004,3850:7.14:1.75;3800:9.22:3.84;3750:10.78:5.39;3700:11.85:6.46;3650:12.49:7.10;3600:12.85:7.46;3550:13.03:7.65;3500:13.11:7.72;3450:13.14:7.75;3400:13.14:7.75;3350:13.14:7.75;3300:13.14:7.75;3250:13.14:7.75;3200:13.14:7.75;3150:13.14:7.75;3100:13.14:7.75;3050:13.14:7.75;3000:13.14:7.75
A_parcel_ring_3800,3900,3880,rcc,31.94554709025124,2.271643084301506,2.562848114024698,0.0,2.562848114024698,0.0,2.306563302622228,0.24318180305457793,2.9167120764919114,17.89298228120037,True,3850,7.415500642943884,2.767783207965992,64.41339705351804,2.9167120764919114,3.047583897347756,3550,17.342572265255846,2.767783207965992,69.36414899452909,12.843783698803872,13.42007964960707,7.5187931090119475,13.394193714748399,bowl,20.0,0.75,451.10400000000004,3850:7.42:2.92;3800:10.41:5.91;3750:12.84:8.34;3700:14.67:10.17;3650:15.98:11.48;3600:16.83:12.33;3550:17.34:12.84;3500:17.64:13.14;3450:17.79:13.29;3400:17.86:13.36;3350:17.89:13.39;3300:17.89:13.39;3250:17.89:13.39;3200:17.89:13.39;3150:17.89:13.39;3100:17.89:13.39;3050:17.89:13.39;3000:17.89:13.39
A_parcel_ring_3800,3950,3930,cfrd,47.18554709025125,14.644159869991492,19.173670524573005,19.173670524573005,0.0,0.0,15.978058770477505,2.781225205340892,2.226839871003762,10.976947885494102,False,,,,,,,3650,10.660194795273375,2.767523908444982,50.40105167957379,8.170458114423532,8.825477940431607,0.6671770925620893,8.48721120464426,bowl,20.0,0.75,466.34400000000005,3900:4.72:2.23;3850:6.74:4.25;3800:8.38:5.89;3750:9.54:7.05;3700:10.26:7.77;3650:10.66:8.17;3600:10.87:8.38;3550:10.95:8.46;3500:10.97:8.48;3450:10.98:8.49;3400:10.98:8.49;3350:10.98:8.49;3300:10.98:8.49;3250:10.98:8.49;3200:10.98:8.49;3150:10.98:8.49;3100:10.98:8.49;3050:10.98:8.49;3000:10.98:8.49
A_parcel_ring_3800,3950,3930,rcc,47.18554709025125,4.524407767020315,5.2174706299751215,0.0,5.2174706299751215,0.0,4.69572356697761,0.4112550690953547,4.6358818310108045,17.842367413460558,True,3900,4.756974456699271,2.7677175199406046,48.567531370000445,4.6358818310108045,5.00753718592684,3550,17.291957397516036,2.7677175199406046,69.10839515080828,17.170864771827567,18.547440809271,3.682490493929556,17.721274787772092,bowl,20.0,0.75,466.34400000000005,3900:4.76:4.64;3850:7.40:7.28;3800:10.38:10.26;3750:12.80:12.68;3700:14.63:14.51;3650:15.93:15.81;3600:16.78:16.66;3550:17.29:17.17;3500:17.59:17.47;3450:17.74:17.62;3400:17.81:17.69;3350:17.84:17.72;3300:17.84:17.72;3250:17.84:17.72;3200:17.84:17.72;3150:17.84:17.72;3100:17.84:17.72;3050:17.84:17.72;3000:17.84:17.72
A_parcel_ring_3800,4000,3980,cfrd,62.42554709025126,23.73784610117628,30.934202667810123,30.934202667810123,0.0,0.0,25.778502223175106,5.252241811189049,2.613682370545364,8.824938138854561,False,,,,,,,3700,8.480295892719854,2.756838208739703,43.58638549393851,8.337140054525515,9.29982077925312,0.32896775069794365,8.681782300660222,bowl,20.0,0.75,481.584,3950:2.76:2.61;3900:4.51:4.37;3850:6.09:5.94;3800:7.27:7.13;3750:8.04:7.90;3700:8.48:8.34;3650:8.71:8.56;3600:8.80:8.65;3550:8.82:8.68;3500:8.82:8.68;3450:8.82:8.68;3400:8.82:8.68;3350:8.82:8.68;3300:8.82:8.68;3250:8.82:8.68;3200:8.82:8.68;3150:8.82:8.68;3100:8.82:8.68;3050:8.82:8.68;3000:8.82:8.68
A_parcel_ring_3800,4000,3980,rcc,62.42554709025126,7.486667975281319,8.779261997593828,0.0,8.779261997593828,0.0,7.901335797834445,0.5918761433617191,7.281788235750261,17.772506290524994,True,3800,10.34972322653549,2.7652398028852696,68.89934418289735,14.866271659400482,16.582864289663497,3600,16.7102236220415,2.7652398028852696,68.89934418289735,21.226772054906494,23.67780492370817,2.1148605817539545,22.289054723389985,bowl,20.0,0.75,481.584,3950:2.77:7.28;3900:4.75:9.26;3850:7.38:11.90;3800:10.35:14.87;3750:12.76:17.27;3700:14.57:19.09;3650:15.87:20.39;3600:16.71:21.23;3550:17.22:21.74;3500:17.52:22.03;3450:17.67:22.19;3400:17.74:22.26;3350:17.77:22.28;3300:17.77:22.29;3250:17.77:22.29;3200:17.77:22.29;3150:17.77:22.29;3100:17.77:22.29;3050:17.77:22.29;3000:17.77:22.29
