site,E,N,z_floor_ft,acc_ha,valley_grade_tan,ux,uy,vx,vy,crest_ft,nwl_ft,H_max_m,abut_L,abut_R,dam_len_m,fill_cfrd_Mm3,fill_rcc_Mm3,gross_Mm3,water_acre,water_out_acre,spill,abut_in_parcel,eff_cfrd,head_m
0,686366.0,4356322.0,3536.2484532287035,29.8976,0.0,0.9647482112763947,0.2631746356300265,0.25445818555088096,0.9670837770359678,3650.0,3630.0,34.67147145589115,70.0,96.0,166.0,0.17755778314877507,0.06236821096332384,509.41443270207077,678.6027754281812,250.98394753467397,True,True,2869.0064928059733,374.904
0,686366.0,4356322.0,3536.2484532287035,29.8976,0.0,0.9647482112763947,0.2631746356300265,0.25445818555088096,0.9670837770359678,3700.0,3680.0,49.91147145589116,98.0,122.0,220.0,0.4202071432119931,0.14122317079786353,552.1351874646477,706.8676773819215,260.24743407511505,True,True,1313.9595468183115,390.144
0,686366.0,4356322.0,3536.2484532287035,29.8976,0.0,0.9647482112763947,0.2631746356300265,0.25445818555088096,0.9670837770359678,3750.0,3730.0,65.15147145589117,124.0,150.0,274.0,0.8129952947599057,0.26560025967989925,596.6664817501968,737.951557527439,270.4202684193553,True,True,733.9113591381912,405.384
0,686366.0,4356322.0,3536.2484532287035,29.8976,0.0,0.9647482112763947,0.2631746356300265,0.25445818555088096,0.9670837770359678,3800.0,3780.0,80.39147145589118,152.0,174.0,326.0,1.3890629925859692,0.4448692938706315,643.2795262322995,774.218720154612,283.09183238099155,True,True,463.10320674135085,420.624
0,686366.0,4356322.0,3536.2484532287035,29.8976,0.0,0.9647482112763947,0.2631746356300265,0.25445818555088096,0.9670837770359678,3850.0,3830.0,95.63147145589119,226.0,198.0,424.0,2.1865365312105056,0.69055395210014,692.3104629200758,815.4279904111282,301.5476391120112,True,True,316.6242379388925,435.86400000000003
0,686366.0,4356322.0,3536.2484532287035,29.8976,0.0,0.9647482112763947,0.2631746356300265,0.25445818555088096,0.9670837770359678,3900.0,3880.0,110.8714714558912,370.0,228.0,598.0,3.30701089562363,1.0377575645498105,743.4356671396966,840.8778678591946,314.057101943405,True,True,224.80593218592978,451.10400000000004
1,686398.0,4356318.0,3562.7106377041737,29.3104,0.22246673112847476,-0.6035561694627487,-0.7973204815527153,0.9922778767136677,-0.12403473458920847,3700.0,3680.0,41.84579762776775,144.0,64.0,208.0,0.30400967484579017,0.10268102545952677,0.09955594306152331,2.2536010789805476,0.0,False,True,0.3274762328272065,390.144
1,686398.0,4356318.0,3562.7106377041737,29.3104,0.22246673112847476,-0.6035561694627487,-0.7973204815527153,0.9922778767136677,-0.12403473458920847,3750.0,3730.0,57.08579762776776,166.0,92.0,258.0,0.693541623980612,0.2246152699206647,0.31016263976464836,4.760238068583473,0.0,False,True,0.4472156090422612,405.384
1,686398.0,4356318.0,3562.7106377041737,29.3104,0.22246673112847476,-0.6035561694627487,-0.7973204815527153,0.9922778767136677,-0.12403473458920847,3800.0,3780.0,72.32579762776777,190.0,126.0,316.0,1.297476152552729,0.41000277311956757,0.7035597937558595,8.148547059261244,0.0,False,True,0.5422525819620158,420.624
1,686398.0,4356318.0,3562.7106377041737,29.3104,0.22246673112847476,-0.6035561694627487,-0.7973204815527153,0.9922778767136677,-0.12403473458920847,3850.0,3830.0,87.56579762776778,212.0,518.0,730.0,2.4800607323470985,0.7842094889826275,1.5155059456064466,18.269983484156334,0.0,False,True,0.6110761425476023,435.86400000000003
2,686426.0,4356306.0,3587.7371182000848,28.7072,0.2495263023168036,-0.7482029277778399,-0.6634699532493302,0.9486832980505138,-0.31622776601683794,3700.0,3680.0,34.21772637261415,154.0,54.0,208.0,0.19283672472053992,0.06712667859594251,0.04012722327441399,1.316577472457057,0.0,False,True,0.2080891144182551,390.144
2,686426.0,4356306.0,3587.7371182000848,28.7072,0.2495263023168036,-0.7482029277778399,-0.6634699532493302,0.9486832980505138,-0.31622776601683794,3750.0,3730.0,49.45772637261416,176.0,78.0,254.0,0.5302879763489942,0.17351007089725604,0.18585546102636716,3.5820396097480285,0.0,False,True,0.3504802471780948,405.384
