station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,685936.8,4355885.2,3700,128.0,rockfill,47220.59895341071,133.69280949272456,162.0,-398.0,560.0,8757.885421127663,
10,685936.8,4355895.2,3700,127.9,rockfill,47577.1964205581,133.65114855932052,162.0,-399.0,561.0,8757.448454601612,
20,685936.9,4355905.2,3701,127.7,rockfill,48128.14476037487,133.57416375892717,162.0,-401.0,563.0,8741.646846791562,
30,685936.9,4355915.1,3702,127.4,rockfill,48997.92959972338,133.69582180957514,162.0,-405.0,567.0,8728.732225927291,
40,685936.9,4355925.1,3702,127.3,rockfill,49877.34512081841,133.44996001712298,162.0,-408.0,570.0,8719.16054075824,
50,685936.9,4355935.1,3700,127.9,rockfill,53804.60839339006,133.87082768707978,162.0,-431.0,593.0,8735.899117534433,
60,685939.6,4355944.7,3701,127.6,rockfill,57845.453256519955,137.30991407419424,162.0,-492.0,654.0,8716.299684187761,
70,685942.7,4355954.1,3699,128.4,rockfill,56972.857612688225,136.22073167220128,162.0,-508.0,670.0,8725.735168406753,
80,685945.9,4355963.6,3695,129.4,rockfill,56391.1090947887,134.18594925282832,162.0,-509.0,671.0,8772.31601772157,
90,685948.7,4355973.1,3700,128.1,rockfill,54067.12619177962,133.6904127345697,162.0,-431.0,593.0,8772.713966181209,
100,685946.3,4355982.8,3700,128.0,rockfill,46569.08769184934,133.90299436811483,162.0,-414.0,576.0,8708.111515002263,
110,685942.4,4355991.9,3701,127.8,rockfill,44615.21259641483,135.15005040441838,162.0,-414.0,576.0,8708.866037936743,
120,685937.9,4356000.9,3700,128.0,rockfill,45178.56920188263,136.41336217242633,162.0,-413.0,575.0,8780.306872542522,
130,685933.5,4356009.8,3700,128.1,rockfill,46684.1876468878,137.45084988759572,162.0,-416.0,578.0,8857.096527861877,
140,685929.1,4356018.8,3700,127.9,rockfill,51520.55119210323,137.94673496803284,162.0,-405.0,567.0,8941.600847583592,
150,685927.3,4356028.5,3700,128.0,rockfill,57674.04122203236,130.74658651989466,162.0,-469.0,631.0,8931.552832233012,
159,685930.6,4356037.4,3702,127.3,rockfill,63083.15186062007,129.91400083548228,162.0,-505.0,667.0,8935.165035130529,
169,685936.0,4356045.8,3701,127.8,rockfill,67679.84739184719,130.95011735926732,162.0,-543.0,705.0,8863.876020380945,
179,685941.4,4356054.1,3700,128.1,rockfill,67901.69648886567,131.37397501023906,162.0,-553.0,715.0,8812.265837013016,
189,685946.8,4356062.5,3700,128.0,rockfill,66413.07759554166,131.26030661211394,162.0,-538.0,700.0,8787.207154016342,
199,685951.3,4356071.4,3699,128.3,rockfill,64710.12884428138,131.42604164459613,162.0,-521.0,683.0,8803.654384908488,
209,685955.4,4356080.5,3699,128.3,rockfill,62434.79708954584,131.19953717766475,162.0,-500.0,662.0,8876.194109536256,
218,685955.4,4356090.1,3699,128.3,rockfill,54083.64525746806,131.18864825825517,162.0,-456.0,618.0,8893.693743685453,
228,685953.5,4356099.9,3700,128.0,rockfill,52793.6449306577,130.86283834806977,162.0,-448.0,610.0,8893.17730592289,
238,685951.6,4356109.7,3701,127.7,rockfill,53845.810213079465,130.45492949849722,162.0,-450.0,612.0,8913.27369505564,
248,685949.7,4356119.5,3700,128.0,rockfill,60705.07194332641,131.06079318606567,162.0,-498.0,660.0,8947.054142269477,
258,685951.4,4356129.3,3701,127.7,rockfill,65654.72827347429,130.4574446554343,162.0,-510.0,672.0,8917.060863028375,
268,685953.5,4356139.0,3700,127.9,rockfill,70511.5389783917,143.47310495989518,162.0,-532.0,694.0,8933.327258514462,
278,685958.9,4356147.4,3703,127.1,rockfill,69739.75428025247,130.55884162317977,162.0,-592.0,754.0,8881.453446644435,
288,685964.4,4356155.7,3703,127.1,rockfill,68599.54842250465,130.6776026390155,162.0,-594.0,756.0,8826.508425409334,
