key,name,ty,crest,nwl,H,dam_len_km,grid,gc,gr,need,need_hand,maxcut,floor,cut,ratio,nocut,wedge,net,gwh,gwh_hand,cut_below,identity,gross,water_acre,mean_depth_m,top_acre,perim_m,mean_ground_top_ft,max_depth_m,pit_upper,pit_lower,balanced
A,A 组合 III：1、4 段 RCC，其余 CFRD,combo,3900,3880,62.34771648758806,3.1,20.012239818087703,15.049745200024162,4.962494618063541,17.00769948961066,17.00769948961066,26.563508125832485,3500.0,25.330473661150588,1.4893533176914366,5.221915780797223,3.5722680282535655,24.820220628023502,25.933894992323495,25.933894992323488,19.59830484722628,24.820220628023506,28.392488656277067,118.73166474115827,59.09069628145657,91.75287445250531,4182.720345648927,3921.2323506816833,169.62077636718755,47.67318366530213,21.817057560753877,True
B1,B1 全环 RCC（推荐设计点）,rcc,4050,4030,108.06771648758809,3.86,29.679727355600797,0.0,29.679727355600797,26.71175462004072,26.71175462004072,39.19558226891735,3450.0,36.27707491915645,1.358094046429255,25.918390157497804,1.246837018699489,61.35820091627777,70.60909035336168,70.60909035336167,35.43981075877996,61.35820091627777,62.605037934977254,131.7682033512215,117.40345081168249,113.4948990724817,4386.6960951148785,3892.7293031143463,182.67229980468755,61.97940030862997,32.023989722647265,True
B2,B2 全环 RCC（题设坝顶，极限）,rcc,4120,4100,129.4037164875881,4.18,41.87309600624718,0.0,41.87309600624718,37.68578640562246,37.685786405622466,39.01447306706019,3370.0,37.93330692459891,1.0065680072670455,36.48714990609148,1.5844808447630416,74.24587239622922,89.10901252407281,89.1090125240728,37.75872249013773,74.2458723962292,75.83035324099227,135.70607471028225,138.0784788330889,113.19627861778572,4380.730500313703,3892.2684264355585,204.42446386718734,72.92201824877667,31.29308591810695,True
C,C 全环 CFRD,cfrd,3850,3830,47.10771648758805,3.0,29.209449493403966,29.209449493403966,0.0,24.341207911169974,24.341207911169974,27.049995311953023,3450.0,26.52647450402998,1.0897764236201772,1.8290577970534505,2.7537143052268265,19.649044576085302,19.837085736187998,19.83708573618799,17.81998677903185,19.649044576085302,22.402758881312128,114.1046164731856,48.51549788596392,91.82498740202352,4103.133453633397,3923.134354264706,182.67229980468755,53.589304395950904,21.589612102490594,True
R,"R 参照：全环 CFRD，固定坝顶 4,120",cfrd,4120,4100,129.4037164875881,4.18,155.09677418255984,155.09677418255984,0.0,129.2473118187999,129.2473118187999,7.067295427713091,3720.0,6.540093546132626,0.05060138933722354,10.968371616511625,27.1032591343429,17.335505886825096,20.80586787284743,20.80586787284743,6.367134270313469,17.335505886825093,44.438765021167995,135.5869699164151,80.98903596160385,30.986501751576924,1922.4447968544148,4023.329199920587,111.7307919921875,11.593632441955027,5.431322895619371,False
