station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
1230,686740.2,4355967.8,3932,57.4,cfrd,3227.4266063927953,67.05600000000027,34.0,-99.0,133.0,1020.006910617162,
1240,686740.5,4355977.7,3918,61.7,cfrd,2388.7045115968485,67.05600000000027,34.0,-64.0,98.0,1025.498764861148,
1250,686743.3,4355987.2,3919,61.4,cfrd,2524.9956591942973,67.05600000000027,33.0,-68.0,101.0,943.9996049421015,
1259,686744.3,4355996.9,3921,60.6,cfrd,2485.6421725593164,67.05600000000004,33.0,-66.0,99.0,903.4924641806942,
1269,686743.0,4356006.8,3950,51.9,cfrd,2675.0337550274207,67.05600000000004,35.0,-67.0,102.0,1002.0358712697307,
1279,686741.7,4356016.7,3980,42.7,cfrd,2862.1127147388693,67.05600000000027,37.0,-70.0,107.0,1072.9607857472522,
1289,686740.4,4356026.5,3910,63.9,cfrd,3146.2923717902036,67.05600000000004,37.0,-81.0,118.0,1197.2580282839174,
1299,686744.4,4356035.7,3928,58.5,cfrd,3311.1819643933113,67.05600000000004,37.0,-116.0,153.0,1115.227474692523,
1309,686750.8,4356042.8,3928,58.6,cfrd,2934.474325178865,67.05600000000027,39.0,-82.0,121.0,992.4615894989854,
1314,686755.5,4356042.0,3999,36.8,cfrd,2721.619082074061,67.05600000000004,77.0,-45.0,122.0,1802.942033322049,
1323,686755.0,4356032.0,3956,49.9,cfrd,2634.1719172375338,67.05600000000004,84.0,-35.0,119.0,1965.2361026800593,
1333,686754.5,4356022.1,3904,65.8,cfrd,2627.0024962150683,67.05600000000027,79.0,-32.0,111.0,2036.3441364445528,
1343,686754.1,4356012.1,3968,46.4,cfrd,2540.73565015418,67.05600000000027,76.0,-30.0,106.0,1984.6775489260467,
1353,686753.6,4356002.2,3913,63.1,cfrd,2407.888488654543,67.05600000000004,73.0,-29.0,102.0,1860.709571922163,
1363,686753.2,4355992.2,3975,44.2,cfrd,2189.2642511922904,67.05600000000004,66.0,-29.0,95.0,1647.593064658342,
1373,686752.7,4355982.3,3922,60.3,cfrd,2120.471494052947,67.05600000000004,62.0,-29.0,91.0,1583.5326096686877,
1383,686752.2,4355972.3,3987,40.7,cfrd,2060.5936456604813,67.05600000000027,58.0,-29.0,87.0,1530.4661294995324,
1393,686751.8,4355962.4,3932,57.2,cfrd,2885.645899463355,67.05600000000027,99.0,-29.0,128.0,2368.240031284564,
1403,686751.3,4355952.4,3998,37.3,cfrd,3938.8637042791115,67.05600000000027,99.0,-29.0,128.0,3426.9961023944397,
1413,686750.8,4355942.5,3942,54.2,cfrd,3962.456217442681,67.05600000000004,99.0,-29.0,128.0,3443.9596161947993,
1423,686750.4,4355932.5,4011,33.2,cfrd,3928.263178184844,67.05600000000004,99.0,-31.0,130.0,3422.953944251626,
1433,686749.9,4355922.6,3958,49.3,cfrd,3872.2261365437816,67.05600000000027,99.0,-27.0,126.0,3439.018495121303,
1443,686749.5,4355912.6,4053,20.4,cfrd,3782.6603710010218,67.05600000000027,99.0,-25.0,124.0,3410.1206335684988,
