reach,sta_from,sta_to,length_m,H_min,H_max,cfrd_closes_frac,cfrd_toe_us_max,cfrd_toe_ds_max,cfrd_base_max,cfrd_vol_Mm3,cfrd_toe_ds_out_frac,cfrd_toe_ds_over_m,rcc_closes_frac,rcc_toe_us_max,rcc_toe_ds_max,rcc_base_max,rcc_vol_Mm3,rcc_toe_ds_out_frac,rcc_toe_ds_over_m
1,0.0,606.0,607.2021658178663,44.72450484209003,47.10771648758805,1.0,47.0,-502.0,544.0,5.508663320531483,0.01639344262295082,5.7636056620785485,1.0,4.0,-89.0,93.0,1.2329687845054802,0.01639344262295082,2.3481356399440347
2,615.84,1881.83,1275.9846473626344,44.31407157279705,47.05154395275122,1.0,112.0,-260.0,313.0,6.890207908057224,0.0,0.0,1.0,4.0,-102.0,106.0,2.4326681771027454,0.0,0.0
3,1891.81,2292.85,411.03633623429937,44.928694223913,46.57766389756739,1.0,55.0,-356.0,402.0,2.2754901185241048,0.0,0.0,1.0,4.0,-83.0,87.0,0.6551708996099942,0.0,0.0
4,2302.83,2695.16,402.32602493635113,44.17494867506093,46.74149394475762,1.0,55.0,-615.0,668.0,7.603057184140971,0.5121951219512195,167.9964735312496,1.0,4.0,-135.0,139.0,0.9575546108602887,0.0,0.0
5,2705.14,2893.39,188.2692621783317,3.6504223977360652,45.84285149351763,1.0,48.0,-81.0,118.0,0.3462527124384722,0.631578947368421,46.99999999993101,1.0,4.0,-54.0,58.0,0.15706350093778998,0.5789473684210527,30.999999999932676
6,2903.38,3322.69,409.3489050545827,-47.76078904371661,-9.72605507784965,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
7,3332.68,3482.43,139.7886397471434,-67.29169841975909,-55.78277886262708,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
8,3492.42,3761.98,269.57727949335094,-79.17944313023054,-36.25103217289825,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
9,3771.96,4109.77,337.82599437463887,-117.13817986937192,-84.00890688497475,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
10,4119.76,4229.58,109.8374151897533,-80.01284800869371,-57.829562370633084,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
11,4239.56,4339.4,109.8374151897533,-95.88613519779847,-82.31876615065607,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
12,4349.38,4588.99,239.6260549364588,-78.35961110130415,38.66024782936802,1.0,60.0,-54.0,114.0,0.04608016263792817,1.0,53.999999999684846,1.0,4.0,-33.0,37.0,0.017387911042272143,1.0,32.999999999445954
