station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,686019.6,4355882.6,3900,67.1,rockfill,27861.05983247183,81.7246803009773,54.0,-446.0,500.0,1819.2782209631785,
10,686020.4,4355892.6,3897,67.9,rockfill,28495.74883686974,81.16271521469776,56.0,-449.0,505.0,1851.0065734791006,
20,686021.1,4355902.5,3900,66.9,rockfill,29082.831767199194,80.74367761101826,58.0,-453.0,511.0,1876.604651291061,
30,686021.9,4355912.5,3900,67.2,rockfill,29848.423503687794,80.15615682181851,60.0,-457.0,517.0,1938.3347175988213,
40,686022.6,4355922.5,3900,67.1,rockfill,32441.540988908877,82.96547489047293,59.0,-506.0,565.0,1964.395261310925,
50,686028.2,4355930.7,3904,66.0,rockfill,26128.835958448704,72.84629568129958,59.0,-573.0,632.0,1911.7096516235774,
60,686033.9,4355939.0,3901,66.8,rockfill,26016.957802829038,71.45476134806995,59.0,-577.0,636.0,1942.6436678554633,
70,686039.5,4355947.2,3897,68.0,rockfill,25770.65618837621,71.62769664378516,60.0,-580.0,640.0,2031.8977900156895,
80,686045.2,4355955.5,3899,67.3,rockfill,28581.413427389227,70.14409842971668,62.0,-511.0,573.0,2075.3470316436496,
90,686043.3,4355964.9,3898,67.7,rockfill,20877.94308383068,71.14095617284147,64.0,-395.0,459.0,2079.805310288747,
100,686040.4,4355974.5,3898,67.6,rockfill,21091.514540282107,71.21251505716441,67.0,-384.0,451.0,2125.3449194097448,
110,686037.5,4355984.0,3896,68.2,rockfill,22125.878245959255,72.68235028556296,69.0,-398.0,467.0,2183.42446098122,
120,686034.5,4355993.6,3899,67.3,rockfill,27894.026726457098,78.7153077343753,70.0,-458.0,528.0,2224.3712379845165,
130,686033.8,4356003.5,3902,66.5,rockfill,31224.081231003398,72.81624404111585,70.0,-472.0,542.0,2231.2820904557093,
140,686033.6,4356013.5,3901,66.7,rockfill,30184.630265407697,69.56656832435806,70.0,-500.0,570.0,2244.194074414151,
149,686036.4,4356022.8,3901,66.8,rockfill,34239.63431671773,69.66486463622164,69.0,-551.0,620.0,2223.498118631422,
159,686041.1,4356031.6,3901,66.7,rockfill,34533.802306426194,70.11357541681286,69.0,-574.0,643.0,2212.655304492083,
169,686045.8,4356040.4,3901,66.8,rockfill,34170.538362214604,69.69914627446383,69.0,-588.0,657.0,2235.3764255983865,
179,686050.5,4356049.2,3899,67.3,rockfill,33594.752733271496,70.15299415120717,69.0,-569.0,638.0,2268.8587497783296,
189,686054.4,4356058.3,3899,67.2,rockfill,33136.539824503,70.09212335089842,71.0,-558.0,629.0,2322.5743170205697,
199,686056.1,4356068.2,3899,67.3,rockfill,32093.31836496495,70.3344310626037,73.0,-561.0,634.0,2413.6536250960125,
209,686057.8,4356078.0,3899,67.2,rockfill,32830.431409899335,69.84339351712902,73.0,-559.0,632.0,2468.0237339070427,
219,686059.5,4356087.9,3901,66.9,rockfill,33038.192399962194,69.56035131479189,74.0,-557.0,631.0,2505.269630052737,
229,686061.2,4356097.8,3901,66.6,rockfill,32698.744630621586,69.04378730613462,73.0,-556.0,629.0,2532.848338494451,
239,686062.9,4356107.6,3900,66.9,rockfill,35054.50875801126,71.72295536292768,74.0,-558.0,632.0,2569.214507218079,
249,686067.4,4356116.4,3900,67.0,rockfill,31863.26395510848,68.99536607814184,74.0,-639.0,713.0,2573.0840107209115,
259,686072.6,4356124.9,3899,67.5,rockfill,28355.976374283557,69.37949257851415,72.0,-651.0,723.0,2519.9012238154155,
269,686077.8,4356133.5,3899,67.2,rockfill,34602.872193391755,69.2223163803701,67.0,-611.0,678.0,2338.045558372377,
279,686080.3,4356143.0,3899,67.3,rockfill,33022.446518037636,69.37090812326846,63.0,-553.0,616.0,2184.169437572422,
