station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
1379,686453.1,4356404.9,3767,107.7,rockfill,27782.040883857946,109.94213352415,155.0,-229.0,384.0,8541.589453651504,
1389,686449.3,4356414.2,3771,106.5,rockfill,28112.457428464062,108.48079043783468,154.0,-230.0,384.0,8718.776764876427,
1399,686445.5,4356423.4,3771,106.3,rockfill,28668.044745193212,108.61083725876483,153.0,-232.0,385.0,8896.377620032094,
1409,686441.7,4356432.6,3769,106.9,rockfill,29333.83291557013,109.40790611261423,154.0,-234.0,388.0,9080.454389885504,
1419,686437.9,4356441.9,3758,110.2,rockfill,30075.948789796515,112.22943302274825,155.0,-235.0,390.0,9324.741238530733,
1429,686434.1,4356451.1,3752,112.3,rockfill,30803.73298296862,114.66388157336974,156.0,-236.0,392.0,9545.362059098832,
1439,686430.3,4356460.3,3746,114.0,rockfill,31554.868306566572,116.58250490059459,156.0,-237.0,393.0,9764.367334332652,
1449,686426.5,4356469.6,3743,115.1,rockfill,32324.388183302945,117.6914299937614,158.0,-239.0,397.0,9989.321081444925,
1459,686422.7,4356478.8,3739,116.0,rockfill,33056.90112733302,120.16429415074572,159.0,-240.0,399.0,10206.415380351142,
1469,686418.9,4356488.0,3735,117.3,rockfill,33694.75041544417,121.99867369386334,159.0,-241.0,400.0,10394.421787477293,
1479,686415.1,4356497.3,3730,118.8,rockfill,34249.133816727444,123.4814627190267,161.0,-243.0,404.0,10561.993702322972,
1489,686411.3,4356506.5,3726,120.0,rockfill,34798.00815801759,123.49870696540461,166.0,-245.0,411.0,10771.400168343796,
1499,686407.5,4356515.7,3724,120.8,rockfill,35430.65256688166,125.23661342680225,168.0,-247.0,415.0,11051.848371092525,
1509,686403.7,4356525.0,3720,121.9,rockfill,36131.682360348655,125.77683003713855,173.0,-249.0,422.0,11360.772073573735,
1519,686399.9,4356534.2,3716,123.1,rockfill,36889.977364299106,127.1664802297471,177.0,-253.0,430.0,11658.972140676293,
1529,686396.2,4356543.4,3711,124.7,rockfill,37671.01960583648,129.03750592812185,180.0,-257.0,437.0,11924.397412230846,
1539,686392.4,4356552.7,3707,126.0,rockfill,38549.72684280293,131.74990325807403,185.0,-261.0,446.0,12227.362693866255,
1549,686388.6,4356561.9,3702,127.5,rockfill,46755.2090237401,131.86208087854789,164.0,-335.0,499.0,11983.901826455407,
1557,686393.2,4356568.9,3703,127.2,rockfill,44839.08210269608,128.35010916447322,173.0,-458.0,631.0,10957.560585135874,
1567,686401.1,4356575.0,3695,129.4,rockfill,37262.83206452647,130.6033915694993,165.0,-359.0,524.0,10731.144784481847,
1577,686409.0,4356581.1,3683,133.3,rockfill,36894.576742019446,134.06130387055828,170.0,-347.0,517.0,11453.283192062743,
1587,686416.8,4356587.2,3665,138.6,rockfill,36617.30417278832,139.54324448090097,174.0,-335.0,509.0,12273.008789190237,
1597,686424.7,4356593.3,3646,144.3,rockfill,36513.069731807656,145.85400615593585,179.0,-323.0,502.0,13122.370175247464,
1607,686432.6,4356599.4,3637,147.3,rockfill,35802.87453532789,148.7269738948262,185.0,-312.0,497.0,13449.928323171105,
1617,686440.5,4356605.5,3658,140.7,rockfill,33349.73510737831,141.91574653848124,184.0,-300.0,484.0,12600.665787028873,
1627,686448.4,4356611.6,3676,135.3,rockfill,31085.207690303258,136.69977666458112,174.0,-285.0,459.0,11727.773333161764,
1637,686456.3,4356617.8,3693,130.3,rockfill,29077.11102643233,131.69405171114386,169.0,-267.0,436.0,10988.945454710349,
1647,686464.2,4356623.9,3705,126.4,rockfill,27311.083342165566,127.67994502552597,164.0,-247.0,411.0,10334.14744035228,
1657,686472.1,4356630.0,3721,121.7,rockfill,25830.838891037856,123.16798078346051,159.0,-230.0,389.0,9750.535686993077,
1667,686480.0,4356636.1,3730,119.0,rockfill,24688.59548924808,120.41651303574395,156.0,-218.0,374.0,9298.517950868143,
1677,686487.9,4356642.2,3734,117.7,rockfill,23870.692161650648,119.26519986956555,153.0,-210.0,363.0,9015.34092393039,
1687,686495.8,4356648.3,3733,117.9,rockfill,23337.39866621747,119.67641463754921,152.0,-205.0,357.0,8951.348401171534,
1697,686503.7,4356654.4,3727,119.7,rockfill,23123.68123203083,121.66434071663139,153.0,-201.0,354.0,9098.51800219183,
1707,686511.6,4356660.5,3718,122.5,rockfill,23004.761859961138,124.42263877066557,155.0,-194.0,349.0,9379.832182495498,
1717,686519.5,4356666.6,3708,125.5,rockfill,22858.59700069199,127.73098182797094,153.0,-189.0,342.0,9729.574971259379,
1727,686527.4,4356672.7,3701,127.6,rockfill,22448.482282755424,129.35858801358336,152.0,-185.0,337.0,9989.544738220877,
1737,686535.3,4356678.8,3701,127.6,rockfill,21844.547069800974,129.72612105123494,149.0,-183.0,332.0,9773.50929997861,
1746,686542.2,4356685.0,3700,127.9,rockfill,36063.368116432976,129.23249573248813,152.0,-458.0,610.0,9728.899831294471,
1756,686535.5,4356692.4,3709,125.2,rockfill,23685.56420924671,127.86753419201068,163.0,-252.0,415.0,9424.807806899094,
1766,686528.8,4356699.9,3714,123.9,rockfill,24262.445148991592,125.708834165481,163.0,-326.0,489.0,9267.418458870943,
1776,686522.1,4356707.3,3715,123.5,rockfill,25143.713857819923,125.50317791095335,163.0,-353.0,516.0,9196.139823481644,
1786,686515.4,4356714.7,3712,124.3,rockfill,26123.701009489087,126.43662080994773,163.0,-354.0,517.0,9151.992248456452,
1796,686508.7,4356722.1,3713,124.0,rockfill,27212.859214618955,126.14766322783066,162.0,-353.0,515.0,9187.8592394814,
1806,686502.0,4356729.5,3708,125.5,rockfill,28520.891579402713,126.86358627057393,160.0,-352.0,512.0,9312.125994638194,
1816,686495.4,4356736.9,3708,125.6,rockfill,29727.186580100366,127.02100621821955,159.0,-352.0,511.0,9416.977282820699,
1826,686488.7,4356744.3,3720,122.0,rockfill,30757.599502945013,123.78700006673603,161.0,-352.0,513.0,9453.242821475691,
1836,686482.0,4356751.8,3728,119.5,rockfill,31455.372142321365,120.63789190746843,169.0,-354.0,523.0,9247.26589216711,
1846,686475.3,4356759.2,3738,116.3,rockfill,32089.16903784633,117.4189474950258,180.0,-356.0,536.0,9119.781934678158,
1856,686468.6,4356766.6,3746,113.9,rockfill,32713.913285296876,116.3091596826589,187.0,-359.0,546.0,9178.631913016954,
1866,686461.9,4356774.0,3753,112.0,rockfill,33579.99441165366,113.75676013452107,191.0,-362.0,553.0,9341.98960483196,
1876,686455.2,4356781.4,3756,110.9,rockfill,34599.0863088163,112.21090538617432,197.0,-364.0,561.0,9623.922645196368,
1886,686448.6,4356788.8,3758,110.3,rockfill,35851.22699650988,112.53101357176956,209.0,-367.0,576.0,9970.420699175278,
1896,686441.9,4356796.2,3759,110.1,rockfill,37431.482453897435,112.41078279239969,303.0,-370.0,673.0,10644.057438914937,
1906,686435.2,4356803.7,3760,109.8,rockfill,39045.81668395871,112.31591968720113,305.0,-374.0,679.0,11492.99773630262,
1916,686428.5,4356811.1,3760,109.6,rockfill,40756.004298594606,111.84777443169219,305.0,-379.0,684.0,12409.566732285482,
1926,686421.8,4356818.5,3758,110.3,rockfill,42633.225581008905,111.98209570858012,308.0,-382.0,690.0,13453.91073115387,
1936,686415.1,4356825.9,3759,110.0,rockfill,44762.96679627142,111.37267935583236,313.0,-385.0,698.0,14730.479209940073,
1946,686408.4,4356833.3,3764,108.5,rockfill,47006.48938653992,110.66981636171545,323.0,-387.0,710.0,16315.046177678927,
1956,686401.8,4356840.7,3762,109.0,rockfill,49484.87156006402,111.12679641510681,335.0,-389.0,724.0,18209.21143199942,
1966,686395.1,4356848.1,3760,109.8,rockfill,52312.842209447415,111.53606362575488,345.0,-390.0,735.0,20378.36427243389,
1976,686388.4,4356855.6,3752,112.1,rockfill,55418.68478686643,113.15930369174134,354.0,-391.0,745.0,22734.329595798205,
1986,686381.7,4356863.0,3747,113.6,rockfill,58248.492744025854,115.12045908126697,361.0,-390.0,751.0,25128.332227938103,
1996,686375.0,4356870.4,3740,115.7,rockfill,61249.16705769362,116.32267654842053,369.0,-390.0,759.0,27567.88200845202,
2006,686368.3,4356877.8,3734,117.8,rockfill,64326.277437125056,118.63210313204308,375.0,-389.0,764.0,29989.65972596354,
2016,686361.6,4356885.2,3724,120.6,rockfill,67578.19557373029,121.1731539226414,381.0,-388.0,769.0,32460.298187474065,
2026,686355.0,4356892.6,3716,123.3,rockfill,70948.16164731808,123.90132293224133,388.0,-388.0,776.0,34913.1401650993,
2036,686348.3,4356900.0,3706,126.2,rockfill,70727.27342793191,126.69348514747253,366.0,-403.0,769.0,30940.292246953206,
2041,686346.3,4356905.0,3702,127.5,rockfill,89194.09807332463,128.93842945534425,238.0,-766.0,1004.0,13329.911052263335,
2051,686356.2,4356903.7,3708,125.6,rockfill,116707.81448733943,184.86337660188042,281.0,-699.0,980.0,18662.450809055452,
2061,686366.1,4356902.4,3712,124.3,rockfill,114685.72341951515,185.30218330816024,277.0,-697.0,974.0,17596.615772174213,
2071,686376.0,4356901.1,3717,122.9,rockfill,113090.49389002615,185.85859474114295,273.0,-701.0,974.0,16654.994113987756,
2081,686385.9,4356899.8,3720,122.0,rockfill,112199.01503999095,184.7319687379811,269.0,-703.0,972.0,15835.375679358556,
2091,686395.8,4356898.5,3723,121.0,rockfill,111834.39510550597,184.5543085981957,265.0,-710.0,975.0,15199.815512059708,
2101,686405.7,4356897.2,3731,118.4,rockfill,111623.31079722942,183.87511682156355,262.0,-724.0,986.0,14594.70305279897,
2111,686415.6,4356895.9,3737,116.6,rockfill,111608.3266609303,182.24217273184627,259.0,-730.0,989.0,14168.170654234487,
2121,686425.5,4356894.6,3741,115.4,rockfill,111365.64968062288,180.91650240445506,258.0,-730.0,988.0,13843.48040101994,
2131,686435.4,4356893.3,3745,114.3,rockfill,110783.48059119358,181.39084934967718,259.0,-728.0,987.0,13460.698047008402,
2141,686445.3,4356892.0,3745,114.4,rockfill,109110.72445768051,179.45636405224593,249.0,-729.0,978.0,12830.309163015012,
2151,686455.2,4356890.7,3748,113.4,rockfill,106860.68756252165,179.05671474501594,238.0,-733.0,971.0,12228.296310678697,
2161,686465.1,4356889.4,3753,111.7,rockfill,104823.19242693494,175.53586464191267,229.0,-738.0,967.0,11709.986450721575,
2171,686475.0,4356888.1,3757,110.5,rockfill,102893.53722777904,173.12466525480352,222.0,-742.0,964.0,11291.934871947691,
2181,686484.9,4356886.8,3760,109.8,rockfill,100955.2342173219,170.94923669721982,218.0,-745.0,963.0,10977.622219299783,
2191,686494.8,4356885.5,3759,110.0,rockfill,99220.37997834367,165.68442906693917,215.0,-749.0,964.0,10921.912319607089,
2201,686504.7,4356884.2,3752,112.3,rockfill,97889.327041979,160.79595476266877,213.0,-755.0,968.0,11005.900283818995,
2211,686514.6,4356882.9,3738,116.3,rockfill,96505.39076025129,155.3607592307344,212.0,-763.0,975.0,11064.652889737317,
2221,686524.5,4356881.6,3738,116.3,rockfill,94944.63992126701,150.81522695306398,211.0,-771.0,982.0,10918.171879176245,
