方案,几何,可闭合长度 m,不闭合长度 m,最大基底宽 m,坝体 平均断面法 Mm³,坝体 网格法 Mm³,其中 RCC Mm³,其中堆石 Mm³,堆石原岩方 Mm³,堆石松方 Mm³,RCC 骨料原岩方 Mm³,毛库容 Mm³,上游楔扣除 Mm³,净库容 Mm³,净库容 GWh@518m,坝体(网格)/净水,堆石车队年数@5,000 BCM/h,RCC 拌合年数@700 m³/h,说明
RCC 重力（直立/0.8:1，顶 6.1 m）,顶宽 6.1 m，上游 0.0:1，下游 0.8:1,4640,0,315,34.7,41.9,34.7,0.0,0.0,0.0,31.3,38.1,1.6,36.5,43.8,1.1,,12.4,全环同一断面；不闭合段的方量未计入（那里此断面在几何上做不成）
面板堆石 CFRD（1.4/1.4，顶 10 m）,顶宽 10.0 m，上游 1.4:1，下游 1.4:1,4640,0,931,114.4,155.1,0.0,114.4,120.4,185.2,0.0,38.1,27.1,11.0,13.2,14.1,6.0,,全环同一断面；不闭合段的方量未计入（那里此断面在几何上做不成）
心墙堆石 ECRD（2.0/1.8，顶 10 m）,顶宽 10.0 m，上游 2.0:1，下游 1.8:1,4520,120,1203,150.6,205.3,0.0,150.6,158.6,243.9,0.0,38.1,36.0,2.1,2.5,99.3,7.9,,全环同一断面；不闭合段的方量未计入（那里此断面在几何上做不成）
堆石 1.6/1.6（资料 1 初始假设）,顶宽 10.0 m，上游 1.6:1，下游 1.6:1,4640,0,1071,138.3,204.2,0.0,138.3,145.5,223.9,0.0,38.1,31.5,6.6,7.9,31.1,7.3,,全环同一断面；不闭合段的方量未计入（那里此断面在几何上做不成）
分段组合 I：题设高度规则（H≤30 m 用 RCC，其余 CFRD）,按站选断面（RCC 6.1 m/0/0.8；CFRD 10 m/1.4/1.4）,4589,0,,112.8,154.8,0.1,112.7,118.6,182.5,0.1,38.1,26.6,11.5,13.8,13.5,5.9,0.0,两种断面的接头是应力集中与地震开裂位置（资料 3/4）
分段组合 II：地形闭合规则（CFRD 下游趾≤350 m 且上游趾≤250 m 才用 CFRD，否则 RCC）,按站选断面（RCC 6.1 m/0/0.8；CFRD 10 m/1.4/1.4）,4589,0,,63.2,63.1,17.8,45.5,47.9,73.6,16.0,38.1,16.6,21.5,25.7,2.9,2.4,6.3,两种断面的接头是应力集中与地震开裂位置（资料 3/4）
