reach,sta_from,sta_to,length_m,H_min,H_max,cfrd_closes_frac,cfrd_toe_us_max,cfrd_toe_ds_max,cfrd_base_max,cfrd_vol_Mm3,cfrd_toe_ds_out_frac,cfrd_toe_ds_over_m,rcc_closes_frac,rcc_toe_us_max,rcc_toe_ds_max,rcc_base_max,rcc_vol_Mm3,rcc_toe_ds_out_frac,rcc_toe_ds_over_m
1,0.0,606.0,607.2021658178663,59.96450484209004,62.34771648758806,1.0,66.0,-514.0,571.0,9.13555319013621,0.01639344262295082,7.56282647718699,1.0,4.0,-114.0,118.0,2.0579395188620704,0.01639344262295082,2.8970504651110263
2,615.84,1881.83,1275.9846473626344,59.554071572797056,62.291543952751226,1.0,152.0,-272.0,346.0,10.332805432157878,0.0,0.0,1.0,4.0,-134.0,138.0,3.9248167822128543,0.0,0.0
3,1891.81,2292.85,411.03633623429937,60.16869422391301,61.8176638975674,1.0,77.0,-389.0,462.0,3.693608395480889,0.0,0.0,1.0,4.0,-109.0,113.0,1.0777821043736826,0.0,0.0
4,2302.83,2695.16,402.32602493635113,59.41494867506094,61.98149394475763,1.0,77.0,-635.0,711.0,10.474764655872152,0.5365853658536586,196.88644072743918,1.0,4.0,-164.0,168.0,1.5998506026082577,0.0,0.0
5,2705.14,2893.39,188.2692621783317,18.890422397736074,61.08285149351764,1.0,61.0,-95.0,148.0,0.6105211468067089,0.7368421052631579,65.00000000001533,1.0,4.0,-63.0,67.0,0.2603282952528445,0.5789473684210527,41.00000000001784
6,2903.38,3322.69,409.3489050545827,-32.520789043716604,5.513944922150358,1.0,17.0,-10.0,27.0,0.0016170291113122063,1.0,10.000000000014081,1.0,4.0,-7.0,11.0,0.000638102022505426,1.0,7.000000000078257
7,3332.68,3482.43,139.7886397471434,-52.05169841975908,-40.542778862627074,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
8,3492.42,3761.98,269.57727949335094,-63.93944313023053,-21.01103217289824,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
9,3771.96,4109.77,337.82599437463887,-101.89817986937192,-68.76890688497474,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
10,4119.76,4229.58,109.8374151897533,-64.7728480086937,-42.589562370633075,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
11,4239.56,4339.4,109.8374151897533,-80.64613519779846,-67.07876615065607,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
12,4349.38,4588.99,239.6260549364588,-63.119611101304145,53.90024782936803,1.0,90.0,-73.0,163.0,0.11686972596543724,1.0,72.99999999963487,1.0,4.0,-44.0,48.0,0.04097031508971413,1.0,43.99999999917128
