strategy,floor_ft,setback_m,pit_area_acre,cut_total_Mm3,cut_cap_Mm3,cut_base_Mm3,need_bank_Mm3,need_fill_bank_Mm3,need_agg_bank_Mm3,balance_total,balance_base_only,gross_Mm3,net_Mm3,net_GWh_518m
组合 II（陡坡 RCC + 其余 CFRD）,3900,22.32,4.30,1.23,0.96,0.26,10.26,10.17,0.09,0.12,0.03,2.25,1.13,1.35
组合 II（陡坡 RCC + 其余 CFRD）,3850,33.75,2.62,0.93,0.61,0.32,10.26,10.17,0.09,0.09,0.03,2.01,0.88,1.06
组合 II（陡坡 RCC + 其余 CFRD）,3800,45.18,1.39,0.59,0.33,0.26,10.26,10.17,0.09,0.06,0.03,1.72,0.59,0.71
组合 II（陡坡 RCC + 其余 CFRD）,3750,56.61,0.58,0.29,0.14,0.14,10.26,10.17,0.09,0.03,0.01,1.45,0.32,0.39
组合 II（陡坡 RCC + 其余 CFRD）,3700,68.04,0.10,0.05,0.02,0.03,10.26,10.17,0.09,0.01,0.00,1.25,0.12,0.15
组合 II（陡坡 RCC + 其余 CFRD）,3650,79.47,1.91,1.16,0.45,0.71,10.26,10.17,0.09,0.11,0.07,2.26,1.14,1.36
组合 II（陡坡 RCC + 其余 CFRD）,3600,90.90,1.37,0.92,0.33,0.59,10.26,10.17,0.09,0.09,0.06,2.05,0.92,1.10
组合 II（陡坡 RCC + 其余 CFRD）,3550,102.33,0.93,0.68,0.23,0.46,10.26,10.17,0.09,0.07,0.04,1.83,0.70,0.84
组合 II（陡坡 RCC + 其余 CFRD）,3500,113.76,0.56,0.45,0.14,0.31,10.26,10.17,0.09,0.04,0.03,1.62,0.49,0.59
RCC 高段(1-4) + 堆石边界段(5-12),4050,0.00,23.71,1.08,1.08,0.00,4.41,0.00,4.41,0.25,0.00,1.89,1.70,2.04
RCC 高段(1-4) + 堆石边界段(5-12),4000,0.00,23.71,2.30,2.30,0.00,4.41,0.00,4.41,0.52,0.00,3.10,2.92,3.50
RCC 高段(1-4) + 堆石边界段(5-12),3950,10.89,18.42,3.06,3.06,0.00,4.41,0.00,4.41,0.69,0.00,3.96,3.78,4.54
RCC 高段(1-4) + 堆石边界段(5-12),3900,22.32,13.34,3.15,2.33,0.82,4.41,0.00,4.41,0.71,0.19,4.14,3.96,4.75
RCC 高段(1-4) + 堆石边界段(5-12),3850,33.75,9.10,2.79,1.67,1.12,4.41,0.00,4.41,0.63,0.25,3.84,3.66,4.39
RCC 高段(1-4) + 堆石边界段(5-12),3800,45.18,5.81,2.19,1.11,1.08,4.41,0.00,4.41,0.50,0.24,3.29,3.11,3.73
RCC 高段(1-4) + 堆石边界段(5-12),3750,56.61,3.23,1.44,0.64,0.80,4.41,0.00,4.41,0.33,0.18,2.58,2.40,2.88
RCC 高段(1-4) + 堆石边界段(5-12),3700,68.04,1.38,0.71,0.29,0.43,4.41,0.00,4.41,0.16,0.10,1.88,1.70,2.04
RCC 高段(1-4) + 堆石边界段(5-12),3650,79.47,0.33,0.20,0.07,0.12,4.41,0.00,4.41,0.04,0.03,1.38,1.20,1.44
RCC 高段(1-4) + 堆石边界段(5-12),3600,90.90,0.01,0.00,0.00,0.00,4.41,0.00,4.41,0.00,0.00,1.20,1.02,1.23
RCC 高段(1-4) + 堆石边界段(5-12),3550,102.33,4.36,3.01,0.85,2.15,4.41,0.00,4.41,0.68,0.49,4.13,3.95,4.74
RCC 高段(1-4) + 堆石边界段(5-12),3500,113.76,3.18,2.40,0.63,1.76,4.41,0.00,4.41,0.54,0.40,3.54,3.35,4.03
全环 CFRD,4050,0.00,8.66,0.77,0.77,0.00,19.64,19.64,0.00,0.04,0.00,1.64,0.49,0.59
全环 CFRD,4000,0.00,8.66,1.30,1.30,0.00,19.64,19.64,0.00,0.07,0.00,2.17,1.02,1.23
全环 CFRD,3950,10.89,6.38,1.39,1.39,0.00,19.64,19.64,0.00,0.07,0.00,2.34,1.19,1.43
全环 CFRD,3900,22.32,4.30,1.23,0.96,0.26,19.64,19.64,0.00,0.06,0.01,2.25,1.10,1.32
全环 CFRD,3850,33.75,2.62,0.93,0.61,0.32,19.64,19.64,0.00,0.05,0.02,2.01,0.86,1.03
全环 CFRD,3800,45.18,1.39,0.59,0.33,0.26,19.64,19.64,0.00,0.03,0.01,1.72,0.57,0.68
全环 CFRD,3750,56.61,0.58,0.29,0.14,0.14,19.64,19.64,0.00,0.01,0.01,1.45,0.30,0.36
全环 CFRD,3700,68.04,0.10,0.05,0.02,0.03,19.64,19.64,0.00,0.00,0.00,1.25,0.10,0.12
全环 CFRD,3650,79.47,1.91,1.16,0.45,0.71,19.64,19.64,0.00,0.06,0.04,2.26,1.11,1.33
全环 CFRD,3600,90.90,1.37,0.92,0.33,0.59,19.64,19.64,0.00,0.05,0.03,2.05,0.90,1.08
全环 CFRD,3550,102.33,0.93,0.68,0.23,0.46,19.64,19.64,0.00,0.03,0.02,1.83,0.68,0.81
全环 CFRD,3500,113.76,0.56,0.45,0.14,0.31,19.64,19.64,0.00,0.02,0.02,1.62,0.47,0.56
