strategy,floor_ft,setback_m,pit_area_acre,cut_total_Mm3,cut_cap_Mm3,cut_base_Mm3,need_bank_Mm3,need_fill_bank_Mm3,need_agg_bank_Mm3,balance_total,balance_base_only,gross_Mm3,net_Mm3,net_GWh_518m
全环 RCC,4050,0.00,23.71,1.08,1.08,0.00,4.41,0.00,4.41,0.25,0.00,1.89,1.70,2.04
全环 RCC,4000,0.00,23.71,2.30,2.30,0.00,4.41,0.00,4.41,0.52,0.00,3.10,2.92,3.50
全环 RCC,3950,10.89,18.42,3.06,3.06,0.00,4.41,0.00,4.41,0.69,0.00,3.96,3.78,4.54
全环 RCC,3900,22.32,13.34,3.15,2.33,0.82,4.41,0.00,4.41,0.71,0.19,4.14,3.96,4.75
全环 RCC,3850,33.75,9.10,2.79,1.67,1.12,4.41,0.00,4.41,0.63,0.25,3.84,3.66,4.39
全环 RCC,3800,45.18,5.81,2.19,1.11,1.08,4.41,0.00,4.41,0.50,0.24,3.29,3.11,3.73
全环 RCC,3750,56.61,3.23,1.44,0.64,0.80,4.41,0.00,4.41,0.33,0.18,2.58,2.40,2.88
全环 RCC,3700,68.04,1.38,0.71,0.29,0.43,4.41,0.00,4.41,0.16,0.10,1.88,1.70,2.04
全环 RCC,3650,79.47,0.33,0.20,0.07,0.12,4.41,0.00,4.41,0.04,0.03,1.38,1.20,1.44
全环 RCC,3600,90.90,0.01,0.00,0.00,0.00,4.41,0.00,4.41,0.00,0.00,1.20,1.02,1.23
全环 RCC,3550,102.33,4.36,3.01,0.85,2.15,4.41,0.00,4.41,0.68,0.49,4.13,3.95,4.74
全环 RCC,3500,113.76,3.18,2.40,0.63,1.76,4.41,0.00,4.41,0.54,0.40,3.54,3.35,4.03
组合 II（陡坡 RCC + 其余 CFRD）,4050,0.00,8.66,0.77,0.77,0.00,10.26,10.17,0.09,0.07,0.00,1.64,0.51,0.61
组合 II（陡坡 RCC + 其余 CFRD）,4000,0.00,8.66,1.30,1.30,0.00,10.26,10.17,0.09,0.13,0.00,2.17,1.05,1.25
组合 II（陡坡 RCC + 其余 CFRD）,3950,10.89,6.38,1.39,1.39,0.00,10.26,10.17,0.09,0.13,0.00,2.34,1.22,1.46
