line,crest_ft,nwl_ft,type,H_max_m,dam_endarea_Mm3,dam_grid_Mm3,grid_cfrd_Mm3,grid_rcc_Mm3,infeasible_m,need_bank_Mm3,wedge_Mm3,net_nocut_Mm3,max_cut_Mm3,balanced,floor_ft,cut_Mm3,cap_Mm3,pit_acre,net_Mm3,net_GWh,maxnet_floor_ft,maxnet_cut_Mm3,maxnet_cap_Mm3,maxnet_pit_acre,maxnet_Mm3,maxnet_GWh,maxnet_surplus_ratio,netinf_Mm3,wall,berm_m,wall_m,head_m,curve
A_parcel_ring_3900,3950.0,3930.0,cfrd,16.872354959820314,2.511911393419652,5.32474696884939,5.32474696884939,0.0,0.0,4.437289140707826,0.18589502485115184,0.6846321532562808,5.962668361000693,True,3850.0,4.8792762834887045,2.7315537182482372,33.0411726622616,1.5596781904203607,1.6847164835748463,3700.0,5.8889747310471705,2.7315537182482372,33.0411726622616,2.569376637978826,2.7753617387881753,1.3271559603861596,2.6430702679323486,bowl,20.0,0.75,466.34400000000005,3900:4.00:0.68;3850:4.88:1.56;3800:5.43:2.11;3750:5.74:2.42;3700:5.89:2.57;3650:5.95:2.63;3600:5.96:2.64;3550:5.96:2.64;3500:5.96:2.64;3450:5.96:2.64;3400:5.96:2.64;3350:5.96:2.64;3300:5.96:2.64;3250:5.96:2.64;3200:5.96:2.64;3150:5.96:2.64;3100:5.96:2.64;3050:5.96:2.64;3000:5.96:2.64
A_parcel_ring_3900,3950.0,3930.0,rcc,16.872354959820314,0.6232053038963635,1.274219108822413,0.0,1.274219108822413,0.0,1.1467971979401717,0.06923999695653336,1.011916200966614,7.334007821045118,True,3900.0,4.368980225169921,2.7674150491992644,37.46707323702822,1.011916200966614,1.093040804337605,3650.0,7.268725524161756,2.7674150491992644,37.46707323702822,3.9116614999584494,4.225256625130454,6.338283296486538,3.9769437968418115,bowl,20.0,0.75,466.34400000000005,3900:4.37:1.01;3850:5.55:2.20;3800:6.35:3.00;3750:6.85:3.49;3700:7.13:3.77;3650:7.27:3.91;3600:7.32:3.96;3550:7.33:3.98;3500:7.33:3.98;3450:7.33:3.98;3400:7.33:3.98;3350:7.33:3.98;3300:7.33:3.98;3250:7.33:3.98;3200:7.33:3.98;3150:7.33:3.98;3100:7.33:3.98;3050:7.33:3.98;3000:7.33:3.98
A_parcel_ring_3900,4000.0,3980.0,cfrd,32.11235495982032,6.744034895299995,11.559822014573786,11.559822014573786,0.0,0.0,9.633185012144823,1.00559534910046,0.7832640512635715,4.478950899305232,False,,,,,,,3750.0,4.4041077822212795,2.4776247734904513,25.431816272369193,2.709747059994399,3.022638680680069,0.4571808572833283,2.7845901770783517,bowl,20.0,0.75,481.584,3950:2.48:0.78;3900:3.34:1.65;3850:3.91:2.22;3800:4.24:2.55;3750:4.40:2.71;3700:4.46:2.77;3650:4.48:2.78;3600:4.48:2.78;3550:4.48:2.78;3500:4.48:2.78;3450:4.48:2.78;3400:4.48:2.78;3350:4.48:2.78;3300:4.48:2.78;3250:4.48:2.78;3200:4.48:2.78;3150:4.48:2.78;3100:4.48:2.78;3050:4.48:2.78;3000:4.48:2.78
A_parcel_ring_3900,4000.0,3980.0,rcc,32.11235495982032,1.9132401803540255,3.1368768299624064,0.0,3.1368768299624064,0.0,2.823189146966166,0.20367361749811771,1.8225126825292275,7.324889296159699,True,3900.0,4.3610716456019345,2.7650251528703746,37.340555393564394,3.4185591752607873,3.8132965795554252,3700.0,7.12081783650879,2.7650251528703746,37.340555393564394,6.178305366167643,6.8917077377953335,2.5222602758164148,6.382376825818553,bowl,20.0,0.75,481.584,3950:2.77:1.82;3900:4.36:3.42;3850:5.54:4.60;3800:6.34:5.40;3750:6.84:5.90;3700:7.12:6.18;3650:7.26:6.32;3600:7.31:6.37;3550:7.32:6.38;3500:7.32:6.38;3450:7.32:6.38;3400:7.32:6.38;3350:7.32:6.38;3300:7.32:6.38;3250:7.32:6.38;3200:7.32:6.38;3150:7.32:6.38;3100:7.32:6.38;3050:7.32:6.38;3000:7.32:6.38
A_parcel_ring_3900,4050.0,4030.0,cfrd,47.35235495982033,12.819867415716216,20.428030650821942,20.428030650821942,0.0,0.0,17.023358875684956,2.4881618161456083,0.9709117360452041,3.368758972438607,False,,,,,,,3800.0,3.2925175193366774,2.204167411850039,21.131939330740376,2.911148391232429,3.350058129459311,0.19341174343915715,2.98738984433436,bowl,20.0,0.75,496.824,4000:1.35:0.97;3950:2.20:1.82;3900:2.78:2.40;3850:3.12:2.74;3800:3.29:2.91;3750:3.35:2.97;3700:3.37:2.99;3650:3.37:2.99;3600:3.37:2.99;3550:3.37:2.99;3500:3.37:2.99;3450:3.37:2.99;3400:3.37:2.99;3350:3.37:2.99;3300:3.37:2.99;3250:3.37:2.99;3200:3.37:2.99;3150:3.37:2.99;3100:3.37:2.99;3050:3.37:2.99;3000:3.37:2.99
A_parcel_ring_3900,4050.0,4030.0,rcc,47.35235495982033,3.862886621071648,5.828053367722174,0.0,5.828053367722174,0.0,5.2452480309499565,0.35208711165723167,3.1354254566918005,7.268454513087283,True,3850.0,5.497106991020275,2.7457819075701693,37.01660052485136,7.248763242154031,8.341649055417424,3700.0,7.064383053436373,2.7457819075701693,37.01660052485136,8.816039304570127,10.145221119904747,1.3468158248670954,9.020110764221036,bowl,20.0,0.75,496.824,4000:1.38:3.14;3950:2.75:4.50;3900:4.33:6.08;3850:5.50:7.25;3800:6.29:8.04;3750:6.79:8.54;3700:7.06:8.82;3650:7.20:8.95;3600:7.26:9.01;3550:7.27:9.02;3500:7.27:9.02;3450:7.27:9.02;3400:7.27:9.02;3350:7.27:9.02;3300:7.27:9.02;3250:7.27:9.02;3200:7.27:9.02;3150:7.27:9.02;3100:7.27:9.02;3050:7.27:9.02;3000:7.27:9.02
A_parcel_ring_3900,4120.0,4100.0,cfrd,68.68835495982034,24.88556399718537,37.293285029187906,37.293285029187906,0.0,0.0,31.077737524323254,5.989287386487812,0.7409653784023132,1.1239853280361545,False,,,,,,,3870.0,1.0965204719734514,0.9270952531997921,8.301992161824229,1.5735830804863757,1.8885956875610908,0.03528314991125883,1.6010479365490786,bowl,20.0,0.75,518.1600000000001,4070:0.26:0.74;4020:0.57:1.05;3970:0.85:1.33;3920:1.02:1.49;3870:1.10:1.57;3820:1.12:1.60;3770:1.12:1.60;3720:1.12:1.60;3670:1.12:1.60;3620:1.12:1.60;3570:1.12:1.60;3520:1.12:1.60;3470:1.12:1.60;3420:1.12:1.60;3370:1.12:1.60;3320:1.12:1.60;3270:1.12:1.60;3220:1.12:1.60;3170:1.12:1.60;3120:1.12:1.60;3070:1.12:1.60;3020:1.12:1.60;2970:1.12:1.60
A_parcel_ring_3900,4120.0,4100.0,rcc,68.68835495982034,7.721097513986479,11.058305688474565,0.0,11.058305688474565,0.0,9.952475119627108,0.5908901882548531,6.216422085315646,7.184922614472398,False,,,,,,,3770.0,6.545929854669247,2.714837469447054,36.72254538086319,12.38750178119092,14.867332226514147,0.6577187861299074,13.02649454099407,bowl,20.0,0.75,518.1600000000001,4070:0.37:6.22;4020:0.98:6.83;3970:2.10:7.95;3920:3.70:9.54;3870:5.03:10.87;3820:5.95:11.79;3770:6.55:12.39;3720:6.90:12.74;3670:7.08:12.92;3620:7.16:13.00;3570:7.18:13.02;3520:7.18:13.03;3470:7.18:13.03;3420:7.18:13.03;3370:7.18:13.03;3320:7.18:13.03;3270:7.18:13.03;3220:7.18:13.03;3170:7.18:13.03;3120:7.18:13.03;3070:7.18:13.03;3020:7.18:13.03;2970:7.18:13.03
