reach,sta_from,sta_to,length_m,H_min,H_max,cfrd_closes_frac,cfrd_toe_us_max,cfrd_toe_ds_max,cfrd_base_max,cfrd_vol_Mm3,cfrd_toe_ds_out_frac,cfrd_toe_ds_over_m,rcc_closes_frac,rcc_toe_us_max,rcc_toe_ds_max,rcc_base_max,rcc_vol_Mm3,rcc_toe_ds_out_frac,rcc_toe_ds_over_m
1,0.0,606.0,607.2021658178663,75.20450484209005,77.58771648758807,1.0,82.0,-560.0,633.0,13.346291972474349,0.08196721311475409,11.247486266772528,1.0,4.0,-137.0,141.0,3.0773279946335954,0.01639344262295082,3.44596529028167
2,615.84,1881.83,1275.9846473626344,74.79407157279707,77.53154395275124,1.0,181.0,-336.0,432.0,14.564302232770517,0.0,0.0,1.0,4.0,-163.0,167.0,5.683358819306173,0.0,0.0
3,1891.81,2292.85,411.03633623429937,75.40869422391302,77.05766389756741,1.0,103.0,-464.0,552.0,5.33752590087833,0.0,0.0,1.0,4.0,-132.0,136.0,1.599668888113251,0.0,0.0
4,2302.83,2695.16,402.32602493635113,74.65494867506095,77.22149394475764,1.0,108.0,-661.0,768.0,13.586492007322256,0.5365853658536586,214.8351685905903,1.0,4.0,-201.0,205.0,2.398231883692574,0.0,0.0
5,2705.14,2893.39,188.2692621783317,34.13042239773608,76.32285149351765,1.0,78.0,-109.0,187.0,0.9634235235410784,0.7894736842105263,86.0000000000355,1.0,4.0,-74.0,78.0,0.3899288778573592,0.6842105263157895,50.99999999994929
6,2903.38,3322.69,409.3489050545827,-17.280789043716595,20.753944922150367,1.0,55.0,-27.0,72.0,0.11427849531287429,1.0,26.999999999978545,1.0,4.0,-17.0,21.0,0.03372014715976994,1.0,17.00000000004711
7,3332.68,3482.43,139.7886397471434,-36.81169841975907,-25.302778862627065,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
8,3492.42,3761.98,269.57727949335094,-48.69944313023052,-5.771032172898231,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
9,3771.96,4109.77,337.82599437463887,-86.6581798693719,-53.52890688497473,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
10,4119.76,4229.58,109.8374151897533,-49.53284800869369,-27.349562370633066,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
11,4239.56,4339.4,109.8374151897533,-65.40613519779845,-51.838766150656056,1.0,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0
12,4349.38,4588.99,239.6260549364588,-47.879611101304135,69.14024782936804,1.0,105.0,-92.0,197.0,0.23970571408999064,1.0,91.99999999958484,1.0,4.0,-56.0,60.0,0.07953330049933884,1.0,55.99999999904287
