station,E,N,z_ground_ft,H_axis,slope_us_deg,slope_ds_deg,rcc_area,rcc_toe_us,rcc_toe_ds,rcc_base,rcc_Hmax,rcc_us_wedge,rcc_closes,cfrd_area,cfrd_toe_us,cfrd_toe_ds,cfrd_base,cfrd_Hmax,cfrd_us_wedge,cfrd_closes,ecrd_area,ecrd_toe_us,ecrd_toe_ds,ecrd_base,ecrd_Hmax,ecrd_us_wedge,ecrd_closes,rockfill_area,rockfill_toe_us,rockfill_toe_ds,rockfill_base,rockfill_Hmax,rockfill_us_wedge,rockfill_closes
0.0,685936.8391407859,4355885.185807813,3700.000417085263,128.01587287241182,36.33361794151675,29.109939848831633,12644.550084555935,4.0,-165.0,169.0,130.29329038401738,482.98921773172924,True,38011.89437095264,92.0,-375.0,467.0,131.67351076172918,6020.30441522189,True,51076.439438190886,107.0,-421.0,528.0,136.66686375531685,6945.456426162732,True,44833.692915545704,97.0,-398.0,495.0,133.69280949272456,6370.979383262668,True
9.983741519369907,685936.8479882609,4355895.169545412,3700.354587502752,127.90792172916122,35.85333498976014,29.200284019804304,12662.41071484596,4.0,-166.0,170.0,130.0674971269682,483.1058230846925,True,38412.45894127858,92.0,-374.0,466.0,131.55107561117347,6055.584668370944,True,51502.78345488958,108.0,-422.0,530.0,136.70908557952612,6990.013824671591,True,45228.57700494277,98.0,-399.0,497.0,133.65114855932052,6408.829038986269,True
19.967483037808492,685936.856835736,4355905.15328301,3701.100858113968,127.68045844686253,35.480845061167905,29.750931701487872,12725.058426992226,4.0,-168.0,172.0,129.8181575705853,481.85702293786994,True,38932.5168740349,92.0,-374.0,466.0,131.1358899795141,6056.232687822495,True,52164.220977810925,108.0,-426.0,534.0,137.07780558402646,6998.089755115618,True,45797.49434975159,98.0,-401.0,499.0,133.57416375892717,6410.996436168289,True
29.9512245571784,685936.865683211,4355915.137020609,3701.905727157004,127.43513436254511,35.084387801881405,30.333595364968172,12853.009228780244,4.0,-172.0,176.0,129.5881497355997,480.9765723806479,True,39701.82327798425,93.0,-377.0,470.0,130.88165295709405,6047.629403006949,True,53152.71868725534,109.0,-429.0,538.0,137.3115997191967,7002.981546275138,True,46676.13071156746,99.0,-405.0,504.0,133.69582180957514,6406.93333777137,True
39.934966075616984,685936.8745306861,4355925.1207582075,3702.479990755855,127.26009881761547,34.42955615912054,30.86694457293586,13029.702885122711,4.0,-175.0,179.0,129.46223193328933,480.6368981492817,True,40475.13771920436,94.0,-380.0,474.0,130.91939826536577,6049.673202712487,True,54190.06643885043,112.0,-433.0,545.0,137.24005490044738,7046.9506868615845,True,47578.45930397505,101.0,-408.0,509.0,133.44996001712298,6420.274723914878,True
49.91870759498689,685936.8833781611,4355935.104495807,3700.3347297055607,127.91397438574518,34.57417742951884,32.28031415079676,13780.758740554524,4.0,-188.0,192.0,130.0302069029151,482.8817249590759,True,43643.3165379112,94.0,-400.0,494.0,131.5583479537811,6083.706403297744,True,58847.43657544849,111.0,-460.0,571.0,138.80907684082285,7068.9304920092345,True,51521.52801351711,100.0,-431.0,531.0,133.87082768707978,6452.818737661486,True
59.841422799879275,685939.5912457284,4355944.650580359,3701.492532442961,127.56107611138555,34.49560101995259,34.384709887470954,14314.41633586926,4.0,-194.0,198.0,129.67374135731347,481.19886399460097,True,46241.94189227601,93.0,-429.0,522.0,132.23234877894424,6046.722922101094,True,64949.08032941539,110.0,-525.0,635.0,142.58971662477848,7019.6753207518,True,55542.164582046404,100.0,-492.0,592.0,137.30991407419424,6413.011009714206,True
69.82516431859706,685942.7376777454,4355954.125550558,3698.6159253363558,128.43786595747883,35.0591469762877,31.242052590849905,13587.055856198887,4.0,-186.0,190.0,130.60532186200726,484.7436232643379,True,44974.68509567529,93.0,-432.0,525.0,133.02896844640918,6018.521646704414,True,64489.896043398265,110.0,-535.0,645.0,139.47746929822802,6991.9251836184,True,54630.583178010755,100.0,-508.0,608.0,136.22073167220128,6383.460733729276,True
79.8089058382354,685945.8841097625,4355963.600520758,3695.4471243845537,129.4037164875881,34.527932978604746,28.479556686259997,13019.684451310186,4.0,-180.0,184.0,131.57826563922026,488.81598135734953,True,44398.063153599265,95.0,-432.0,527.0,132.76743666515358,6141.498345458553,True,64047.77678127521,113.0,-535.0,648.0,136.26199241526092,7159.789700149444,True,54141.011479023786,102.0,-509.0,611.0,134.18594925282832,6522.218401956665,True
89.70310341164608,685948.6915088665,4355973.08807344,3699.848532937877,128.06216716053518,32.94007636581343,32.47887435765976,14169.14560545101,4.0,-193.0,197.0,130.101084930051,483.48121468011345,True,43984.95329151729,97.0,-402.0,499.0,131.43912924151846,6238.450798163833,True,59273.97940060748,115.0,-457.0,572.0,139.64715010624718,7306.275614587163,True,51931.67203417196,104.0,-431.0,535.0,133.6904127345697,6637.2598085735535,True
99.68684493004608,685946.2560517038,4355982.770203532,3699.951871017649,128.03066971382054,32.98335607950169,29.832851751843023,12787.959752072704,4.0,-171.0,175.0,130.11097037715194,483.3799346395035,True,36891.21758449016,96.0,-392.0,488.0,131.81744199843706,6084.659590080944,True,51100.62967115482,118.0,-434.0,552.0,136.76074480633815,7155.628392384489,True,44338.2550771566,103.0,-414.0,517.0,133.90299436811483,6477.278900309528,True
109.6243024581758,685942.3829501976,4355991.9218234345,3700.5769110123165,127.8401575234459,29.31422104327183,30.08438790427341,12742.51019123105,4.0,-168.0,172.0,130.05834134484235,482.4811003540708,True,35234.36931118384,103.0,-390.0,493.0,132.04945958207531,6326.204101288814,True,49665.64806750271,130.0,-439.0,569.0,138.32414243516405,7609.678629732384,True,42692.12363385678,112.0,-414.0,526.0,135.15005040441838,6785.777075378701,True
119.60804397708101,685937.9453653591,4356000.86514136,3700.165908357786,127.96543113254688,26.54193803113325,32.49782293909288,13091.204705568569,4.0,-170.0,174.0,129.969003561421,483.2808433376406,True,36102.73055205896,110.0,-390.0,500.0,132.2608637534804,6686.082353265331,True,50645.47955870213,136.0,-438.0,574.0,140.59053011603987,8139.545092155029,True,43613.4697990218,120.0,-413.0,533.0,136.41336217242633,7215.207469681693,True
129.59178549682048,685933.5077805206,4356009.808459287,3699.6268838838287,128.129725792209,23.595196672492044,34.63097150316343,13529.172992088039,4.0,-173.0,177.0,130.18437819168162,483.8515088240615,True,37838.83659586079,114.0,-390.0,504.0,131.75376956528658,7050.6777117600295,True,52623.27968953851,139.0,-440.0,579.0,143.04422780764457,8602.004366244015,True,45449.32293014389,124.0,-416.0,540.0,137.45084988759572,7622.231811117965,True
139.5755270157257,685929.0701956821,4356018.751777212,3700.3333397429724,127.91439804634206,24.907593366646093,34.547214989410676,14530.876479282917,4.0,-187.0,191.0,130.4407337256057,482.6317708218362,True,42999.38097045738,112.0,-380.0,492.0,131.63467076563188,7098.642780749837,True,57048.50075404516,137.0,-428.0,565.0,146.55784607914393,8595.243453260831,True,50227.80774510854,122.0,-405.0,527.0,137.94673496803284,7648.8574005888995,True
149.52449944622302,685927.256878338,4356028.534104779,3700.089980371805,127.98857398267387,29.691064549851767,30.33120442009731,13392.068310620849,4.0,-194.0,198.0,129.68478774527398,483.9835014519556,True,46885.52846437994,103.0,-412.0,515.0,130.74658651989466,6766.869354930507,True,64629.78364309347,123.0,-496.0,619.0,143.98532141375688,7984.482207167644,True,55963.04563009043,111.0,-469.0,580.0,130.74658651989466,7220.5572402910875,True
158.95631077889945,685930.5668480042,4356037.366044873,3702.343191105869,127.30179535093112,26.810517484343237,29.467792973551823,12918.591151445778,4.0,-195.0,199.0,128.92001611793398,481.74312518450506,True,50822.49572388944,108.0,-467.0,575.0,129.91400083548228,6951.378952730723,True,71760.34025058389,131.0,-541.0,672.0,149.9011107841585,8321.324047996219,True,61601.713638139496,117.0,-505.0,622.0,129.91400083548228,7453.726812649946,True
168.9400522977559,685935.9781426818,4356045.756097592,3700.691756209961,127.80515270720389,26.669398934730282,30.394946346617562,13469.895817107252,4.0,-198.0,202.0,129.64859213548743,483.2781179312367,True,53756.63916839773,108.0,-501.0,609.0,130.86042656353266,6851.83667778048,True,78164.23484707961,133.0,-593.0,726.0,154.59236537125344,8243.509776973988,True,66174.86534467059,118.0,-543.0,661.0,130.95011735926732,7358.893973204345,True
178.92379381661235,685941.3894373593,4356054.146150311,3699.853991564333,128.06050337119132,29.010059734320976,29.92565337986836,13258.738361040421,4.0,-191.0,195.0,129.8807099004755,484.1823664138981,True,53412.84354285529,104.0,-510.0,614.0,131.08833247512666,6585.736526728708,True,78315.09348090243,128.0,-595.0,723.0,155.31867969141376,7865.1508345237435,True,66141.79753940618,113.0,-553.0,666.0,131.37397501023906,7052.366887553524,True
188.9075353355319,685946.8007320369,4356062.5362030305,3700.0216244979974,128.00940885301043,31.59876347661748,29.03719880691745,13090.591274246508,4.0,-191.0,195.0,129.99363566112993,483.842806614598,True,52286.03964126747,100.0,-495.0,595.0,131.23592767214927,6357.864706263087,True,75940.41002306878,121.0,-592.0,713.0,154.2731597455138,7504.30907902109,True,64406.48154989284,107.0,-538.0,645.0,131.26030661211394,6780.611108367519,True
198.86698949104567,685951.3081607611,4356071.4172960585,3699.0344732874273,128.3102925419921,32.326672027003994,28.530497878722848,13049.499900682236,4.0,-194.0,198.0,130.1511180627797,484.98504249155894,True,51413.65604808091,99.0,-475.0,574.0,131.42604164459613,6351.343728119471,True,73258.07303940628,118.0,-558.0,676.0,153.95829374518553,7451.632497750123,True,62668.13447750347,105.0,-521.0,626.0,131.42604164459613,6761.660018130576,True
208.85073100992474,685955.4018234821,4356080.523174393,3699.082535600572,128.2956431489456,31.30974939343369,29.52553091207952,12911.004895940769,4.0,-187.0,191.0,130.00716423763834,485.2427859636807,True,49856.64046392808,101.0,-471.0,572.0,131.19953717766475,6563.70070478422,True,70284.9000955737,121.0,-532.0,653.0,144.66212397144636,7725.025182298095,True,60553.36957277794,108.0,-500.0,608.0,131.19953717766475,6994.766592768353,True
218.42091059757405,685955.4415367442,4356090.093271581,3698.9147825453197,128.34677428018654,30.729294264046555,25.93123580290699,11860.384561652478,4.0,-171.0,175.0,130.02626706599494,485.59453467862977,True,43417.89240410403,102.0,-425.0,527.0,131.18864825825517,6633.725465794611,True,61096.87574517602,127.0,-515.0,642.0,131.1898138749459,7864.59278273968,True,52270.831537021244,110.0,-456.0,566.0,131.18864825825517,7080.88002323864,True
228.40465211706163,685953.5122833331,4356099.88883568,3700.1304595501174,127.97623592912419,28.820372768926,26.670007255774063,11896.591188894592,4.0,-170.0,174.0,129.72607805280177,483.9999479021494,True,42477.47206296609,106.0,-420.0,526.0,130.8608441360168,6755.836661503717,True,59206.21196170247,133.0,-474.0,607.0,132.33232115134,8115.708698190113,True,51143.17169153865,115.0,-448.0,563.0,130.86283834806977,7242.704066803847,True
238.38839363563545,685951.583029922,4356109.684399777,3701.056009876539,127.69412818963087,27.2567883811131,29.765312801160572,12305.745108900268,4.0,-172.0,176.0,129.34050163389315,483.345965109851,True,43569.58213423718,109.0,-422.0,531.0,130.45492949849722,6896.440031265849,True,60530.786330584815,136.0,-479.0,615.0,133.94917319709543,8327.77425615248,True,52345.60388577963,119.0,-450.0,569.0,130.45492949849722,7413.067367755801,True
