station,E,N,z_ground_ft,H_axis,slope_us_deg,slope_ds_deg,rcc_area,rcc_toe_us,rcc_toe_ds,rcc_base,rcc_Hmax,rcc_us_wedge,rcc_closes,cfrd_area,cfrd_toe_us,cfrd_toe_ds,cfrd_base,cfrd_Hmax,cfrd_us_wedge,cfrd_closes,ecrd_area,ecrd_toe_us,ecrd_toe_ds,ecrd_base,ecrd_Hmax,ecrd_us_wedge,ecrd_closes,rockfill_area,rockfill_toe_us,rockfill_toe_ds,rockfill_base,rockfill_Hmax,rockfill_us_wedge,rockfill_closes
0.0,685936.8391407859,4355885.185807813,3700.000417085263,128.01587287241182,36.42631831860791,29.047302292893423,12702.771331803971,4.0,-171.0,175.0,130.2532575467285,483.01981187507727,True,40623.13904717804,92.0,-391.0,483.0,131.59193982107558,6028.863097927419,True,55160.99582248451,107.0,-448.0,555.0,136.27991672201756,6949.838795222937,True,48162.87340939152,97.0,-422.0,519.0,133.25297084644353,6377.28346899219,True
9.983112344017687,685938.5904671493,4355895.014103089,3704.249059042188,126.72088680394108,36.147106028409155,29.881469886827432,12689.898790408211,4.0,-174.0,178.0,128.77692306015,478.3653978387872,True,41182.3534538658,91.0,-395.0,486.0,130.19664359583157,5942.809531606527,True,55988.301548016156,106.0,-452.0,558.0,135.61803515125553,6858.288423230403,True,48876.84551695889,97.0,-426.0,523.0,131.96190862670846,6289.101027202253,True
19.966224688035375,685940.3417935127,4355904.842398366,3709.627858226115,125.08142881268009,35.49003011887313,30.828055827257923,12698.121556228327,4.0,-176.0,180.0,127.28890029678223,471.5539063703136,True,41665.53754735293,91.0,-399.0,490.0,128.79246419511446,5854.293266951756,True,56711.97861418716,106.0,-457.0,563.0,134.84032353622388,6760.707132986967,True,49490.01542037011,97.0,-430.0,527.0,130.95093772220366,6197.74093985197,True
29.94933703113618,685942.0931198761,4355914.6706936415,3714.1114745895825,123.71482254509533,35.059324368069646,31.618339428758887,12686.772734564849,4.0,-179.0,183.0,125.77302842101562,466.25981579680047,True,41638.25203565593,90.0,-403.0,493.0,127.19293864902352,5752.226331997694,True,56929.18082666936,105.0,-462.0,567.0,133.6644737162776,6648.311217917882,True,49577.98380061735,96.0,-434.0,530.0,129.57525055945166,6090.310956672032,True
39.932449375153865,685943.8444462395,4355924.498988918,3718.545554627155,122.36331494964315,34.772882531906404,32.41025284667864,12759.333820785188,4.0,-182.0,186.0,124.5098753529744,460.83973194407554,True,41802.966566140545,90.0,-406.0,496.0,125.90637719226788,5634.048678700034,True,57369.26548208158,105.0,-468.0,573.0,133.43718224481609,6520.644327955937,True,49877.31085849296,95.0,-438.0,533.0,128.47404958492575,5968.393480310391,True
49.91556171917155,685945.595772603,4355934.3272841945,3721.4806133314682,121.46870905656851,34.39000685095254,33.502768768268396,13115.375133350897,4.0,-188.0,192.0,123.65170155794931,457.06604798256626,True,42663.07740741446,90.0,-410.0,500.0,125.29920118164569,5533.158415637848,True,58581.2670883513,106.0,-482.0,588.0,134.9049343574129,6421.349575475207,True,50908.430657770165,95.0,-443.0,538.0,129.13644634241746,5866.8627402087295,True
59.89867406318923,685947.3470989664,4355944.155579471,3719.752972675546,121.99529392849354,33.85423022073678,34.668224783585586,13684.620740348733,4.0,-193.0,197.0,124.2203181375271,459.34190929336387,True,44267.58403872109,91.0,-415.0,506.0,126.33081008926024,5559.7712128389085,True,60709.4432456926,108.0,-512.0,620.0,138.4123519193197,6486.125384708257,True,52691.73238145144,97.0,-447.0,544.0,131.77815686105032,5904.743039278848,True
69.88178640629005,685949.0984253298,4355953.983874747,3712.6486544034433,124.16069013783044,32.8874614239394,34.20115518646568,13839.086451441603,4.0,-195.0,199.0,126.33549488237736,467.8711001826164,True,45621.707142403975,93.0,-420.0,513.0,128.25775956709367,5754.064709833988,True,62695.75128854196,112.0,-514.0,626.0,138.66623424880868,6750.916784216192,True,54216.718978771925,101.0,-450.0,551.0,132.89598344007277,6122.624560962075,True
79.86489875028731,685950.8497516931,4355963.812170023,3706.7513182564535,125.95819819543294,31.930220862318222,31.719997689893383,13429.500572254245,4.0,-190.0,194.0,128.15914041914925,475.15577853751665,True,45327.271495151945,97.0,-423.0,520.0,129.6404052626135,6040.985883636731,True,62936.433443438116,116.0,-512.0,628.0,135.6705158455377,7105.543183659447,True,54072.39743534616,104.0,-454.0,558.0,131.91671578233627,6436.572320295254,True
89.848011094305,685952.6010780565,4355973.6404653,3709.3553125478265,125.16450073542251,31.350001726342146,30.000284863101214,12708.194953489608,4.0,-185.0,189.0,127.20902665436574,472.23437062584367,True,44065.939413678185,98.0,-426.0,524.0,128.49998928092214,6114.451618139765,True,62045.99900688525,116.0,-512.0,628.0,131.71759099791825,7193.833652316719,True,52955.37036131449,104.0,-464.0,568.0,129.15497425910985,6517.531983409013,True
99.83112343832268,685954.3524044199,4355983.468760576,3721.282926672881,121.52896395010589,31.017545845378798,29.263442285014634,11894.478285322806,4.0,-178.0,182.0,123.8748725398898,457.903963215256,True,42507.80698506678,96.0,-429.0,525.0,125.52083136323927,5875.953317045909,True,60781.2425559169,114.0,-515.0,629.0,126.91350516261832,6919.82572663247,True,51593.27856932988,103.0,-488.0,591.0,125.65984496373494,6264.983062392535,True
