station_m,E,N,z_ground_ft,H_axis_m,kind,area_m2,H_max_m,toe_us_m,toe_ds_m,base_width_m,area_us_below_nwl_m2,note
0,685979.9,4355883.8,3800,97.5,rockfill,35845.93977111092,106.7812740136651,74.0,-423.0,497.0,3656.677140047672,
10,685979.8,4355893.8,3799,97.8,rockfill,36341.20074076591,106.86027866202107,75.0,-422.0,497.0,3720.701579653607,
20,685979.6,4355903.8,3800,97.6,rockfill,36780.30239112697,106.8622106613791,76.0,-421.0,497.0,3762.2852009267,
30,685979.5,4355913.8,3800,97.4,rockfill,37502.875699143086,106.9900444102941,79.0,-422.0,501.0,3808.296502233784,
40,685979.3,4355923.8,3800,97.4,rockfill,38553.39473459458,106.97198993057214,82.0,-426.0,508.0,3907.542083321375,
50,685979.3,4355933.7,3800,97.5,rockfill,46322.40921492383,111.21460254274689,80.0,-469.0,549.0,3907.5773099538046,
60,685983.7,4355942.7,3803,96.5,rockfill,44686.59776897371,106.88479433877296,79.0,-541.0,620.0,3827.1977212601187,
70,685988.1,4355951.6,3802,96.8,rockfill,43820.28018934583,103.91365375992223,79.0,-541.0,620.0,3823.285454542993,
80,685992.5,4355960.6,3800,97.5,rockfill,42067.55130025053,102.19561004300408,84.0,-496.0,580.0,4096.42605513355,
90,685994.1,4355970.4,3800,97.5,rockfill,38818.18860425051,103.74746918729147,82.0,-437.0,519.0,3970.5242968963357,
100,685990.7,4355979.7,3799,97.9,rockfill,32133.90436496649,103.11177362642775,85.0,-436.0,521.0,4024.208398945414,
110,685987.2,4355989.1,3800,97.6,rockfill,33528.4995416808,106.02615715588968,88.0,-437.0,525.0,4125.7609641591935,
120,685983.7,4355998.5,3800,97.5,rockfill,39062.35957955697,109.92798218924008,88.0,-430.0,518.0,4178.214266932073,
130,685982.5,4356008.2,3802,96.9,rockfill,43140.283367435964,103.07032389599863,87.0,-448.0,535.0,4152.106989127228,
140,685982.4,4356018.2,3799,97.7,rockfill,43465.09982692197,99.88436246136416,88.0,-458.0,546.0,4189.120064455679,
149,685982.3,4356028.2,3801,97.4,rockfill,45537.42214347051,100.67840089281276,87.0,-524.0,611.0,4208.236527679872,
159,685986.4,4356037.1,3803,96.7,rockfill,50443.52450099557,101.68827805800947,88.0,-532.0,620.0,4193.202149296283,
169,685991.1,4356045.9,3803,96.7,rockfill,50603.38590570474,102.01899691735775,86.0,-553.0,639.0,4103.249475763979,
179,685995.9,4356054.7,3801,97.2,rockfill,50189.24515158551,101.8784791822768,85.0,-560.0,645.0,4082.9054440935925,
189,686000.6,4356063.5,3799,97.7,rockfill,50167.998946563195,101.4418617504075,86.0,-567.0,653.0,4125.25671163172,
199,686005.4,4356072.2,3799,97.7,rockfill,47932.95800531528,100.76247111462885,87.0,-537.0,624.0,4174.863570485141,
209,686006.0,4356082.0,3798,98.1,rockfill,42588.657697892704,101.29828079806452,91.0,-484.0,575.0,4277.045618562722,
219,686006.0,4356092.0,3799,97.8,rockfill,42746.45979278837,100.84587908814456,93.0,-483.0,576.0,4336.227516498327,
229,686005.9,4356102.0,3801,97.3,rockfill,43474.68425015609,100.20125700669678,95.0,-486.0,581.0,4387.899547062796,
239,686005.9,4356112.0,3802,97.1,rockfill,44308.20850748326,99.8051129639482,95.0,-494.0,589.0,4472.994471558366,
249,686005.9,4356122.0,3800,97.4,rockfill,49652.5057290727,100.10021641835806,95.0,-530.0,625.0,4497.224985386885,
259,686009.5,4356131.1,3802,96.9,rockfill,55202.034379207726,101.54550634750512,95.0,-565.0,660.0,4437.597048619317,
269,686013.7,4356140.2,3802,96.9,rockfill,54316.48582106976,99.5976333191552,95.0,-582.0,677.0,4429.5683192173165,
279,686018.0,4356149.2,3800,97.4,rockfill,53634.056718388296,101.3450134603952,94.0,-588.0,682.0,4468.768364721272,
289,686022.2,4356158.2,3797,98.4,rockfill,52750.85985782451,102.74280050334892,93.0,-595.0,688.0,4490.52658051421,
299,686026.5,4356167.3,3797,98.3,rockfill,51851.02423191663,102.41728519755065,91.0,-596.0,687.0,4424.770260500622,
309,686030.4,4356176.4,3800,97.6,rockfill,53580.249668788114,104.31364878980901,87.0,-550.0,637.0,4220.6752499041595,
319,686031.5,4356186.3,3798,98.0,rockfill,50060.24373309109,102.4517325536001,87.0,-531.0,618.0,4261.063255782148,
329,686032.5,4356196.2,3798,98.0,rockfill,51154.46379221904,102.81963780185947,88.0,-528.0,616.0,4306.886376983879,
339,686033.6,4356206.1,3799,97.9,rockfill,52059.753430286335,101.83982306320718,88.0,-528.0,616.0,4348.280832581111,
349,686034.6,4356216.1,3800,97.5,rockfill,52893.872388776435,103.23415423075357,89.0,-530.0,619.0,4391.062895115179,
359,686035.6,4356226.0,3800,97.5,rockfill,53226.9794052519,107.60925739107256,89.0,-546.0,635.0,4434.517508131768,
369,686037.7,4356235.7,3800,97.6,rockfill,51621.19915109413,100.32460217103744,89.0,-574.0,663.0,4453.446484216358,
379,686040.6,4356245.3,3800,97.6,rockfill,50510.75753926126,100.32904629269865,89.0,-590.0,679.0,4452.072148018641,
389,686043.5,4356254.8,3799,97.8,rockfill,50161.18631380076,100.3916157826061,89.0,-594.0,683.0,4449.255055048388,
398,686046.4,4356264.4,3799,97.9,rockfill,49681.760637432875,100.49808791542046,91.0,-598.0,689.0,4454.981508677178,
408,686049.3,4356273.9,3799,97.9,rockfill,49214.806813834206,100.3414621533359,100.0,-599.0,699.0,4495.186835737435,
418,686052.0,4356283.5,3800,97.6,rockfill,49281.30367797028,99.86629810982572,135.0,-581.0,716.0,4825.672675309185,
428,686053.1,4356293.4,3800,97.6,rockfill,50750.571828381915,99.94706295445872,193.0,-567.0,760.0,5769.19557200178,
